F1@10,F1@25,F1@50,Edit,Acc,Avg,Name
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_scrambledegg
0,0,0,0.0,0.0,0.0,P14_stereo01_P14_tea
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_cereals
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_coffee
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_friedegg
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_juice
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_milk
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_pancake
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_salat
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_sandwich
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_scrambledegg
0,0,0,0.0,0.0,0.0,P14_webcam01_P14_tea
0,0,0,0.0,0.0,0.0,P15_cam01_P15_cereals
0,0,0,0.0,0.0,0.0,P15_cam01_P15_coffee
0,0,0,0.0,0.0,0.0,P15_cam01_P15_friedegg
0,0,0,0.0,0.0,0.0,P15_cam01_P15_juice
0,0,0,0.0,0.0,0.0,P15_cam01_P15_milk
0,0,0,0.0,0.0,0.0,P15_cam01_P15_pancake
0,0,0,0.0,0.0,0.0,P15_cam01_P15_salat
0,0,0,0.0,0.0,0.0,P15_cam01_P15_sandwich
0,0,0,0.0,0.0,0.0,P15_cam01_P15_scrambledegg
0,0,0,0.0,0.0,0.0,P15_cam01_P15_tea
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_cereals
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_coffee
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_friedegg
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_juice
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_milk
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_pancake
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_salat
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_sandwich
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_scrambledegg
0,0,0,0.0,0.0,0.0,P15_stereo01_P15_tea
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_cereals
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_coffee
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_friedegg
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_juice
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_milk
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_pancake
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_sandwich
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_scrambledegg
0,0,0,0.0,0.0,0.0,P15_webcam01_P15_tea
